hashtag;timestamp;cnt;followers_count;log_followers_count
facebook;2018-06-06 15:00:00;1209;18657453;7531.207785653407
facebook;2018-06-06 16:00:00;1102;17489198;7102.642001373974
facebook;2018-06-06 17:00:00;970;19262657;6376.069991755279
facebook;2018-06-06 18:00:00;914;14874096;5856.529288129883
facebook;2018-06-06 19:00:00;878;9914297;5607.677229217923
facebook;2018-06-06 20:00:00;771;16914971;4834.9217993272605
facebook;2018-06-06 21:00:00;665;8296206;4130.918555638177
facebook;2018-06-06 22:00:00;655;17701247;4197.212122783928
facebook;2018-06-06 23:00:00;595;8415893;3702.663377016522
facebook;2018-06-07 00:00:00;501;7611500;3191.837113783732
facebook;2018-06-07 01:00:00;489;9691159;3119.3543538428576
facebook;2018-06-07 02:00:00;649;4850154;3884.046552368602
facebook;2018-06-07 03:00:00;576;8930672;3563.496810970222
facebook;2018-06-07 04:00:00;531;3609026;3223.9919072689136
facebook;2018-06-07 05:00:00;608;4697678;3639.0912068951643
facebook;2018-06-07 06:00:00;652;13330893;4051.1620167589454
facebook;2018-06-07 07:00:00;784;10202805;4978.978867925086
facebook;2018-06-07 08:00:00;753;5124884;4705.248091457552
facebook;2018-06-07 09:00:00;800;7475994;5013.223201399564
facebook;2018-06-07 10:00:00;767;10055327;4859.6795283140555
facebook;2018-06-07 11:00:00;743;7660765;4517.477189686274
facebook;2018-06-07 12:00:00;780;9482641;4878.507927965571
facebook;2018-06-07 13:00:00;871;12337425;5729.359256068612
facebook;2018-06-07 14:00:00;939;19915957;6183.03496496786
facebook;2018-06-07 15:00:00;856;14914822;5522.7313983779895
facebook;2018-06-07 16:00:00;837;14291416;5271.604959923189
facebook;2018-06-07 17:00:00;642;13795060;4163.361974635346
facebook;2018-06-07 18:00:00;702;9578892;4478.326193839615
facebook;2018-06-07 19:00:00;859;10904377;5410.320025870883
facebook;2018-06-07 20:00:00;920;18323330;6324.504133258999
facebook;2018-06-07 21:00:00;876;10554896;5881.802733617536
facebook;2018-06-07 22:00:00;755;8382266;5042.035942480282
facebook;2018-06-07 23:00:00;713;10423728;4661.175972745056
facebook;2018-06-08 00:00:00;558;10238242;3707.2177155032155
facebook;2018-06-08 01:00:00;536;18959684;3573.6730452086044
facebook;2018-06-08 02:00:00;464;3467278;3088.711658828514
facebook;2018-06-08 03:00:00;501;17277495;3222.8073436206114
facebook;2018-06-08 04:00:00;528;10723847;3543.4674446678455
facebook;2018-06-08 05:00:00;610;18599299;3976.3987426197727
